City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
137,Saskylakh,RU,71.9167,114.0833,50.95,55,100,8.1,overcast clouds
138,Santa Rosa,PH,14.3122,121.1114,82.38,85,99,3.74,overcast clouds
139,Te Anau,NZ,-45.4167,167.7167,42.24,98,100,5.39,overcast clouds
140,Vila Do Maio,CV,15.1333,-23.2167,81.39,81,99,8.37,overcast clouds
141,Vanimo,PG,-2.6741,141.3028,76.12,89,100,2.91,overcast clouds
142,Kodiak,US,57.79,-152.4072,51.93,98,100,15.12,moderate rain
143,Hithadhoo,MV,-0.6,73.0833,82.29,74,98,4.76,overcast clouds
144,Jamestown,US,42.097,-79.2353,83.52,51,75,5.75,broken clouds
145,Lata,PT,40.1629,-8.3327,90.48,37,0,6.46,clear sky
146,Praya,CV,14.9215,-23.5087,81.14,65,75,14.97,haze
147,Pisco,PE,-13.7,-76.2167,66.25,72,7,12.66,haze
148,Sanmenxia,CN,34.7747,111.1814,79.84,47,2,5.86,clear sky
149,Bredasdorp,ZA,-34.5322,20.0403,51.78,94,0,2.93,clear sky
150,Saint-Georges,GD,12.0564,-61.7485,78.48,94,40,17.27,scattered clouds
151,Castro,BR,-24.7911,-50.0119,71.19,49,100,2.59,overcast clouds
152,Cape Town,ZA,-33.9258,18.4232,61.38,73,0,3.44,clear sky
153,Angoche,MZ,-16.2325,39.9086,72.21,69,6,9.22,clear sky
154,Veraval,IN,20.9,70.3667,82.62,83,100,16.78,overcast clouds
155,Bac Lieu,VN,9.285,105.7244,79.12,86,100,10.6,overcast clouds
156,Nemuro,JP,43.3236,145.575,56.59,89,100,7.23,overcast clouds
157,Mar Del Plata,AR,-38.0023,-57.5575,59.02,69,0,11.99,clear sky
158,Ipixuna,BR,-1.7625,-48.8043,84.36,62,100,3.33,overcast clouds
159,Witu,KE,-2.3889,40.4382,74.77,75,1,14.52,clear sky
160,Pevek,RU,69.7008,170.3133,50.11,89,93,26.42,light rain
161,Benguela,AO,-12.5763,13.4055,68.65,86,77,1.9,broken clouds
162,Ramgarh,IN,23.6333,85.5167,80.65,83,79,7.2,broken clouds
163,Putina,PE,-15.4667,-69.4333,50.47,43,18,9.91,few clouds
164,Labrea,BR,-7.2586,-64.7981,90.59,43,100,4.25,overcast clouds
165,Kitob,UZ,39.0843,66.8332,73.92,31,0,7.25,clear sky
166,Fortuna,US,40.5982,-124.1573,70.93,76,0,1.99,clear sky
167,Padang,ID,-0.9492,100.3543,77.31,85,100,2.71,overcast clouds
168,Japura,ID,-0.3167,102.35,73.29,94,100,2.08,overcast clouds
169,New Norfolk,AU,-42.7826,147.0587,47.7,86,100,4.0,overcast clouds
170,Torbay,CA,47.6666,-52.7314,62.28,76,75,12.66,broken clouds
171,Taree,AU,-31.9,152.4667,49.1,82,16,4.85,few clouds
172,Kokstad,ZA,-30.5472,29.4241,49.5,59,0,3.85,clear sky
