City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
353,Sioux Lookout,CA,80.91,few clouds,50.1001,-91.917,Sioux Lookout
354,Pochutla,MX,89.82,broken clouds,15.7432,-96.4661,Pochutla District
358,Ndende,GA,77.29,overcast clouds,-2.4008,11.3581,Ndende
359,Puerto Madero,MX,88.0,scattered clouds,14.7208,-92.4215,Puerto Madero
361,Okrika,NG,75.97,overcast clouds,4.7416,7.0849,Port Harcourt
367,Ewa Beach,US,80.55,broken clouds,21.3156,-158.0072,Ewa
374,Acajutla,SV,86.81,broken clouds,13.5928,-89.8275,Acajutla
377,Pacific Grove,US,76.24,clear sky,36.6177,-121.9166,Monterey
381,Bocana De Paiwas,NI,81.48,moderate rain,12.7857,-85.1227,Bocana de Paiwas
384,Benicarlo,ES,84.25,clear sky,40.4165,0.4271,Benicarló
386,Calawag,PH,78.57,light rain,10.6697,119.5707,Taytay
395,Takanabe,JP,75.33,light rain,32.1333,131.5,Kawaminami
396,Sangueya,GN,78.49,overcast clouds,10.7,-14.3667,Sangueya
397,Sabzevar,IR,78.55,clear sky,36.2126,57.6819,Sabzevar
398,Broome,US,84.7,clear sky,42.2506,-75.833,Chenango Forks
402,Campoverde,PE,83.89,overcast clouds,-8.4753,-74.8058,Pueb Campo Verde
403,Anzio,IT,79.86,clear sky,41.4853,12.6179,Anzio
404,Kavaratti,IN,79.63,overcast clouds,10.5669,72.642,Kavaratti
411,Laramie,US,83.55,broken clouds,41.3114,-105.5911,Laramie
417,Savannah Bight,HN,82.51,clear sky,16.45,-85.85,Guanaja
424,La Suiza,CR,80.78,overcast clouds,9.8524,-83.6133,La Suiza
425,Wawa,NG,83.5,overcast clouds,9.9022,4.4192,Wawa
426,Mitu,CO,81.7,overcast clouds,1.1983,-70.1733,Queramiki
427,Aquiraz,BR,81.18,clear sky,-3.9014,-38.3911,Eusébio
432,Kasongo-Lunda,CD,75.51,overcast clouds,-6.4667,16.8167,Kasongo-Lunda
437,Iquitos,PE,84.24,broken clouds,-3.7481,-73.2472,Iquitos
439,Rameswaram,IN,85.01,overcast clouds,9.2833,79.3,Rameswaram
444,Surman,LY,81.72,clear sky,32.7567,12.5716,Surman
446,Noumea,NC,75.0,clear sky,-22.2763,166.4572,Nouméa
449,Narasannapeta,IN,79.56,heavy intensity rain,18.4167,84.05,Narasannapeta
450,Dafeng,CN,77.34,overcast clouds,23.4517,108.5881,Nanning
451,Oloron-Sainte-Marie,FR,82.33,clear sky,43.1944,-0.6107,Oloron-Sainte-Marie
452,Porto Novo,BJ,76.41,overcast clouds,6.4965,2.6036,Porto-Novo
453,Kuching,MY,77.22,heavy intensity rain,1.55,110.3333,Kuching
454,Pozo Colorado,PY,87.98,overcast clouds,-23.4923,-58.7972,Villa Hayes
455,Damghan,IR,77.4,clear sky,36.1683,54.348,Damghan
459,Boa Vista,BR,85.98,scattered clouds,2.8197,-60.6733,Boa Vista
460,Bar Harbor,US,78.94,broken clouds,44.3876,-68.2039,Bar Harbor
463,Puerto Leguizamo,CO,79.3,overcast clouds,-0.1934,-74.7819,Puerto Leguízamo
471,Korla,CN,80.55,clear sky,41.7597,86.1469,Bayingolin Mongol Autonomous Prefecture
476,Tianguismanalco,MX,77.65,overcast clouds,18.95,-98.4333,Atlixco
479,Carmen,MX,87.84,scattered clouds,18.6333,-91.8333,Ciudad del Carmen
482,San Andres,CO,86.02,broken clouds,12.5847,-81.7006,San Andrés
484,Guerrero Negro,MX,78.31,clear sky,27.9769,-114.0611,Guerrero Negro
485,Sumoto,JP,78.84,overcast clouds,34.35,134.9,Sumoto
489,Tabou,CI,76.57,overcast clouds,4.423,-7.3528,Tabou
494,Hamilton,US,78.24,broken clouds,39.1834,-84.5333,Cincinnati
498,Olutanga,PH,79.63,overcast clouds,7.3106,122.8464,Olutanga
499,Tarrafal,CV,79.59,scattered clouds,15.2833,-23.7667,Tarrafal
500,Sestri Levante,IT,80.51,clear sky,44.2732,9.3968,Sestri Levante
504,Mogadishu,SO,75.65,broken clouds,2.0371,45.3438,Mogadishu
507,Cassilandia,BR,87.69,clear sky,-19.1133,-51.7342,Cassilândia
508,Tura,IN,75.49,clear sky,25.5198,90.2201,Tura
511,Ternate,ID,79.05,overcast clouds,0.8,127.4,Ternate
514,Shenjiamen,CN,76.66,overcast clouds,29.9576,122.298,Zhoushan
519,Seoul,KR,76.39,overcast clouds,37.5683,126.9778,Seoul
522,Muros,ES,80.17,clear sky,42.7762,-9.0603,Muros
525,North Bend,US,77.23,clear sky,43.4065,-124.2243,Coos Bay
528,Bedford,GB,78.51,overcast clouds,52.1346,-0.4663,Bedford
531,Shahreza,IR,86.45,broken clouds,32.0339,51.8794,Shahreza
532,Lao Cai,VN,75.74,overcast clouds,22.4833,103.95,Honghe Hani and Yi Autonomous Prefecture
533,Caravelas,BR,76.5,clear sky,-17.7125,-39.2481,Caravelas
534,Tahta,EG,89.44,overcast clouds,26.7693,31.5021,Tahta
535,Uniontown,US,82.58,overcast clouds,39.9001,-79.7164,Uniontown
539,Ambon,ID,75.34,moderate rain,-3.6954,128.1814,Teluk Ambon
541,Porto Walter,BR,80.67,scattered clouds,-8.2686,-72.7439,Porto Walter
543,Thinadhoo,MV,82.83,overcast clouds,0.5333,72.9333,
547,Griffith,US,77.29,light intensity drizzle,41.5284,-87.4237,Gary
549,Umm Kaddadah,SD,89.8,light rain,13.6017,26.6876,Umm Kadadda
555,Naples,IT,79.75,few clouds,40.8333,14.25,Naples
557,Damietta,EG,78.26,clear sky,31.4165,31.8133,Damietta
560,Loreto,MX,79.52,broken clouds,22.2667,-101.9667,Centro
566,Ashland,US,75.99,overcast clouds,40.8167,-82.2665,Ashland
567,Mingaora,PK,82.33,overcast clouds,34.7758,72.3625,Swat
568,Houlton,US,77.41,few clouds,46.1262,-67.8403,Houlton
577,Marang,MY,80.83,heavy intensity rain,5.2056,103.2059,Kuala Terengganu
578,Dingle,PH,75.99,moderate rain,10.9995,122.6711,Pototan
585,Luganville,VU,76.95,scattered clouds,-15.5333,167.1667,Luganville
587,Rexburg,US,85.51,clear sky,43.826,-111.7897,Rexburg
590,Mandera,KE,81.18,overcast clouds,3.9366,41.867,Mandera
591,Wuda,CN,80.1,clear sky,39.4994,106.7117,Wuhai
595,Emilio Carranza,MX,86.72,broken clouds,19.9711,-96.6114,Colonia Centro
599,Hinatuan,PH,75.81,moderate rain,8.3722,126.3342,Hinatuan
601,Puerto Del Rosario,ES,76.75,few clouds,28.5004,-13.8627,Puerto del Rosario
